,0
0,-1.67551994324
1,-5.67062616348
2,-11.0107831955
3,4.57468891144
4,-6.8070192337
5,0.996087014675
6,-8.65499019623
7,3.59491586685
8,-8.41652202606
9,4.28847742081
10,-5.17236709595
11,3.20025849342
12,-3.69648241997
13,1.15270125866
14,-3.20570778847
15,2.03527235985
16,-1.64938628674
17,0.469300270081
18,-0.783832073212
19,0.280881762505
20,-0.523839890957
21,0.0521930828691
22,-0.0547875091434
23,0.0096593759954
24,0.0792202353477
25,-0.0241306815296
26,1.39173555374
27,7.7722158432
28,9.95499229431
29,9.33355808258
30,9.60391902924
31,10.1458845139
32,10.8718500137
33,10.2015399933
34,10.3322343826
35,10.2940034866
36,9.83658313751
37,9.32972812653
38,8.87428855896
39,8.1612739563
40,7.45308923721
41,6.57748842239
42,5.64648485184
43,4.72318124771
44,3.79540038109
45,2.87376356125
46,2.01856660843
47,1.20722925663
48,0.450653135777
49,0.240065559745
50,0.906760752201
51,1.50872969627
52,1.57142078876
53,15.7142095566
54,20.9231414795
55,34.1035614014
56,23.5956058502
57,32.7239761353
58,28.1713542938
59,38.8788375854
60,26.9105567932
61,40.5856208801
62,29.8295173645
63,36.0244407654
64,28.0136585236
65,30.3676795959
66,23.4554080963
67,25.6140556335
68,18.3585071564
69,17.3705921173
70,12.6084890366
71,10.1922578812
72,6.70517063141
73,4.13889980316
74,1.56279981136
75,0.849374651909
76,3.23175406456
77,5.29866695404
78,-6.40410757065
79,-33.6739273071
80,-39.7760238647
81,-25.5566082001
82,-39.6648101807
83,-34.2010269165
84,-45.0700340271
85,-31.8160762787
86,-44.5321807861
87,-30.9149570465
88,-39.0341300964
89,-29.4529495239
90,-34.6489028931
91,-28.027671814
92,-29.1969032288
93,-20.8437213898
94,-21.7127742767
95,-15.9009370804
96,-14.0293750763
97,-10.0822906494
98,-7.56786775589
99,-4.22032546997
100,-1.61216628551
101,-0.822410464287
102,-3.00899624825
103,-5.28824806213
104,-3.99510669708
105,-5.34013748169
106,15.5854549408
107,-11.3817005157
108,7.8031129837
109,-9.65107917786
110,12.2499094009
111,-12.0114526749
112,12.7049980164
113,-9.46084308624
114,8.3726272583
115,-6.89674806595
116,4.84918355942
117,-4.35841274261
118,5.24098587036
119,-3.68465995789
120,2.11868691444
121,-1.25313174725
122,1.0647135973
123,-0.804721415043
124,0.57603263855
125,-0.10698055476
126,0.0644468218088
127,0.0695608258247
128,-0.103350907564
129,8.46506500244
130,13.4940023422
131,12.3364515305
132,10.8981170654
133,12.4362430573
134,12.4706192017
135,12.3191661835
136,12.628408432
137,12.299071312
138,12.0367431641
139,11.6963329315
140,10.9055919647
141,10.1425857544
142,9.3494758606
143,8.41452980042
144,7.30096769333
145,6.1807513237
146,5.06211900711
147,3.94007515907
148,2.93121004105
149,1.98695957661
150,1.13417863846
151,0.574524581432
152,0.860950052738
153,1.41201162338
