0	20	0.42	2.0
1	40	0.72	1.0
2	60	1.14	1.0
3	80	0.98	1.0
4	100	0.98	1.0
5	120	1.16	1.0
6	140	1.24	1.0
7	160	1.18	1.0
8	180	1.18	1.0
9	201	1.3	2.0
10	222	1.4	2.0
11	243	1.36	2.0
12	264	1.46	2.0
13	285	1.54	2.0
14	306	1.62	2.0
15	327	1.64	2.0
16	348	1.74	2.0
17	369	1.34	2.0
18	391	1.86	2.0
19	413	1.68	2.0
20	434	1.42	2.0
21	456	1.8	2.0
22	478	1.9	2.0
23	500	1.96	2.0
24	522	1.88	2.0
25	544	1.88	2.0
26	566	1.88	2.0
27	588	1.68	2.0
28	611	1.72	2.0
29	634	1.78	2.0
30	657	1.82	2.0
31	680	1.8	2.0
32	703	1.9	2.0
33	726	2.0	2.0
34	749	1.7	2.0
35	772	1.68	2.0
36	795	1.74	2.0
37	819	1.8	2.0
38	843	1.96	2.0
39	867	1.64	2.0
40	891	1.62	2.0
41	915	1.96	2.0
42	939	1.88	2.0
43	963	2.04	2.0
44	987	2.02	2.0
45	1011	1.78	2.0
46	1035	2.08	2.0
47	1059	1.84	2.0
48	1084	1.82	2.0
49	1109	1.94	2.0
50	1134	1.7254901960784315	2.0
51	1160	1.7647058823529411	2.0
52	1185	2.0	2.0
53	1211	2.0	2.0
54	1237	1.3725490196078431	2.0
55	1262	2.0	2.0
56	1288	2.0	2.0
57	1314	1.9803921568627452	2.0
58	1340	2.0	2.0
59	1366	2.0	2.0
60	1392	2.0	2.0
61	1418	1.9607843137254901	2.0
62	1445	1.9803921568627452	2.0
63	1472	2.0	2.0
64	1499	1.9411764705882353	2.0
65	1526	2.0588235294117645	3.0
66	1553	2.0588235294117645	2.0
67	1580	1.9607843137254901	2.0
68	1607	2.0	2.0
69	1635	1.9803921568627452	2.0
70	1662	1.7254901960784315	2.0
71	1690	1.9803921568627452	2.0
72	1718	1.9215686274509804	0.0
73	1746	2.0588235294117645	2.0
74	1774	2.1176470588235294	2.0
75	1802	1.8823529411764706	2.0
76	1830	1.9803921568627452	3.0
77	1858	1.6862745098039216	2.0
78	1886	1.4509803921568627	2.0
79	1914	2.0588235294117645	2.0
80	1943	2.0588235294117645	4.0
81	1972	1.9215686274509804	2.0
82	2001	2.0392156862745097	2.0
83	2030	1.9607843137254901	3.0
84	2060	2.215686274509804	4.0
85	2090	2.5098039215686274	2.0
86	2119	2.1176470588235294	2.0
87	2152	2.0	2.0
88	2182	2.215686274509804	2.0
89	2212	2.549019607843137	3.0
90	2243	2.9215686274509802	3.0
91	2274	3.019607843137255	3.0
92	2303	2.019607843137255	1.0
93	2332	2.215686274509804	3.0
94	2362	2.5294117647058822	3.0
95	2392	3.0392156862745097	4.0
96	2422	2.6470588235294117	3.0
97	2453	3.0392156862745097	3.0
98	2484	3.0	3.0
99	2515	2.9411764705882355	3.0
100	2547	2.75	3.0
101	2579	3.173076923076923	4.0
102	2610	3.076923076923077	1.0
103	2641	2.8846153846153846	4.0
104	2672	3.076923076923077	4.0
105	2704	3.4615384615384617	3.0
106	2736	3.4423076923076925	4.0
107	2767	3.1538461538461537	1.0
108	2796	2.4423076923076925	4.0
109	2828	3.230769230769231	3.0
110	2860	2.8846153846153846	3.0
111	2892	2.8653846153846154	4.0
112	2923	2.8076923076923075	3.0
113	2955	3.326923076923077	4.0
114	2987	2.9423076923076925	4.0
