0	20	0.52	2.0
1	41	0.84	2.0
2	61	0.68	2.0
3	82	0.48	2.0
4	103	0.88	2.0
5	124	1.02	2.0
6	145	1.1	2.0
7	166	1.18	2.0
8	187	1.54	2.0
9	208	0.92	2.0
10	229	1.68	2.0
11	251	1.62	2.0
12	273	1.26	2.0
13	295	1.38	2.0
14	317	1.62	2.0
15	339	1.62	2.0
16	361	1.74	2.0
17	383	1.84	2.0
18	405	1.64	2.0
19	427	1.62	2.0
20	450	1.7	2.0
21	473	1.82	2.0
22	496	1.5	2.0
23	518	1.74	2.0
24	541	1.64	2.0
25	564	1.68	2.0
26	588	1.72	2.0
27	612	1.66	2.0
28	635	1.42	2.0
29	659	1.4	2.0
30	683	1.38	2.0
31	707	1.2	2.0
32	731	1.48	3.0
33	755	1.58	2.0
34	779	1.48	3.0
35	804	1.46	3.0
36	829	1.48	3.0
37	854	1.28	3.0
38	879	1.68	2.0
39	904	1.54	3.0
40	929	1.76	2.0
41	954	1.84	3.0
42	979	1.78	3.0
43	1004	1.98	3.0
44	1030	2.1	3.0
45	1055	2.68	3.0
46	1081	2.6	3.0
47	1107	2.52	3.0
48	1133	2.3	3.0
49	1159	2.28	3.0
50	1185	2.235294117647059	3.0
51	1212	2.4313725490196076	3.0
52	1239	2.392156862745098	3.0
53	1266	2.215686274509804	3.0
54	1293	2.4901960784313726	3.0
55	1320	2.7058823529411766	3.0
56	1347	2.8823529411764706	3.0
57	1374	2.549019607843137	3.0
58	1402	2.627450980392157	3.0
59	1429	2.2745098039215685	3.0
60	1456	2.3333333333333335	3.0
61	1484	2.549019607843137	3.0
62	1512	2.9215686274509802	3.0
63	1540	2.6862745098039214	3.0
64	1568	2.9607843137254903	3.0
65	1596	2.8823529411764706	3.0
66	1624	2.8823529411764706	3.0
67	1652	2.9411764705882355	3.0
68	1681	2.8627450980392157	3.0
69	1709	2.7058823529411766	3.0
70	1738	2.8627450980392157	4.0
71	1767	2.8627450980392157	4.0
72	1796	2.5294117647058822	4.0
73	1825	2.9411764705882355	4.0
74	1854	3.176470588235294	4.0
75	1883	3.235294117647059	4.0
76	1912	3.2745098039215685	4.0
77	1941	2.9411764705882355	4.0
78	1971	2.8627450980392157	4.0
79	2001	2.9607843137254903	4.0
80	2031	3.3137254901960786	4.0
81	2061	3.5686274509803924	4.0
82	2091	3.5686274509803924	4.0
83	2121	3.215686274509804	4.0
84	2152	3.0980392156862746	4.0
85	2182	3.2745098039215685	4.0
86	2212	3.411764705882353	4.0
87	2241	2.803921568627451	4.0
88	2271	3.3137254901960786	4.0
89	2300	3.3137254901960786	4.0
90	2328	3.215686274509804	4.0
91	2357	3.3137254901960786	4.0
92	2386	3.0784313725490198	4.0
93	2416	3.3529411764705883	4.0
94	2446	3.411764705882353	4.0
95	2477	3.4901960784313726	4.0
96	2508	3.3333333333333335	4.0
97	2539	3.3137254901960786	4.0
98	2570	3.4313725490196076	7.0
99	2601	3.411764705882353	7.0
100	2632	4.346153846153846	7.0
101	2663	4.769230769230769	7.0
102	2694	5.25	7.0
103	2726	5.8076923076923075	7.0
104	2758	5.1923076923076925	7.0
105	2790	5.826923076923077	7.0
106	2822	6.615384615384615	7.0
107	2854	5.730769230769231	7.0
108	2886	5.25	7.0
109	2918	5.480769230769231	7.0
110	2951	6.5576923076923075	7.0
111	2984	6.653846153846154	7.0
112	3017	6.846153846153846	7.0
113	3050	6.711538461538462	7.0
114	3083	6.788461538461538	7.0
115	3116	5.846153846153846	7.0
116	3149	6.346153846153846	7.0
117	3182	5.134615384615385	7.0
118	3214	4.384615384615385	7.0
119	3247	5.230769230769231	7.0
120	3280	5.980769230769231	7.0
121	3313	5.3076923076923075	7.0
122	3347	5.173076923076923	7.0
123	3381	4.0576923076923075	7.0
124	3414	3.6346153846153846	7.0
125	3451	5.346153846153846	7.0
126	3487	5.288461538461538	7.0
127	3521	5.384615384615385	7.0
128	3556	5.980769230769231	7.0
129	3592	5.480769230769231	7.0
130	3627	5.884615384615385	7.0
131	3662	6.326923076923077	7.0
132	3697	5.673076923076923	7.0
133	3732	6.6923076923076925	7.0
134	3768	6.326923076923077	7.0
135	3800	5.346153846153846	7.0
136	3833	5.384615384615385	7.0
137	3867	6.153846153846154	7.0
138	3902	6.634615384615385	7.0
139	3938	6.423076923076923	7.0
140	3974	5.961538461538462	7.0
141	4010	5.903846153846154	7.0
142	4045	5.538461538461538	7.0
143	4081	5.153846153846154	7.0
144	4117	5.4423076923076925	7.0
145	4154	6.230769230769231	7.0
146	4190	5.538461538461538	7.0
147	4227	4.769230769230769	7.0
148	4263	4.673076923076923	7.0
149	4300	5.6923076923076925	7.0
150	4337	5.471698113207547	7.0
151	4374	5.962264150943396	7.0
152	4411	5.60377358490566	7.0
153	4448	5.169811320754717	7.0
154	4486	6.09433962264151	8.0
155	4524	4.735849056603773	8.0
156	4562	6.452830188679245	11.0
157	4600	6.339622641509434	11.0
158	4637	5.566037735849057	11.0
159	4675	6.6415094339622645	11.0
160	4714	5.830188679245283	11.0
161	4753	6.7924528301886795	11.0
162	4790	5.528301886792453	11.0
163	4828	8.11320754716981	11.0
164	4867	9.320754716981131	11.0
165	4907	9.471698113207546	11.0
166	4947	8.339622641509434	11.0
167	4986	9.30188679245283	11.0
168	5025	6.886792452830188	11.0
169	5064	7.849056603773585	11.0
170	5103	7.169811320754717	11.0
171	5142	8.11320754716981	11.0
172	5181	9.169811320754716	11.0
173	5220	8.283018867924529	11.0
174	5260	7.716981132075472	11.0
175	5301	9.0	11.0
